"score","message","prob"
"negative","havent gotten anything above a c on a test all semester and just pulled out an a on my first final 😏",0.4064310544611819
"positive","love getting to the library early to snap the best room and not even study just watch envious nerds pass by. jk i gotta go back to studying",0.6639411283728538
"neutral","seriously some of the best head ive gotten. ever. 😏",0.5292072322670375
"neutral","wow this stress acne really compliments the bags under my eyes 💅",0.9883116883116883
"neutral","when you dont know if youre actually cute or just easy",0.5093708165997323
"negative","i love how everyone is bashing the protestors because they have finals yet went out this weekend to go party and get drunk. if you were so worried about finals you would always make it a priority.",0.9682433249425654
"negative","that accounting final today sounded like the fucking plague with all your coughing.",0.5110712148414124
"negative","tbh yik yak loves to torture us today since the featured peek is disney world with yaks of 75/sun and fun 😭",0.631981981981982
"positive","if you have abusive parents emotionally or physically i am so sorry. i love you and you are not worthless.",0.5885885885885886
"negative","whether you ace or fail your exams snooki will always be richer than you",0.5282909930715937
"neutral","my roommate wont stop snoring and i have finals tomorrow. help.",0.49128469980632666
"negative","the worst feeling is leaving a final knowing that you have to start studying for the next one immediately",0.5989199803632793
"positive","if an underclassman took me to get dinner with their meal plan i would love them forever.",0.5508196721311476
"neutral","bouchers final tho",0.7172478793590952
"positive","add two more stir fry stations where world kitchen is currently make everyone happy twice as fast.",0.5508196721311476
"neutral","dat suffolk ra staff doe. 👌",0.6268533772652388
"negative","dont cry because its over cry because you havent even started it yet.",0.9360369529476239
"positive","girl let me love you and i will love you until you learn to love yourself ♡",0.997489417068299
"neutral","🏃             📚📚📚",0.9898543184183143
"negative","just watched a guy kiss his paper so yeh i guess you could say its finals week",0.5733681462140993
"neutral","finals at geneseo are like vs models. they got no curves.",0.49128469980632666
"positive","i love the people at this school to pieces i care about yall so much",0.5215366705471478
"neutral","when you find out your favorite porn video was deleted :(",0.49128469980632666
"negative","thoughts during the semester: its hard but i will get through this thoughts during finals week: did i make the right decision to attend geneseo",0.6600083229296713
"positive","got a kik? need two girls for our suite. we dont haze ;)",0.48816936488169366
"neutral","sad the hottest post on yak is from 4 days ago.",0.49128469980632666
"positive","stop stressing about invites. if you didnt get your top talk to us we want to help you. we love you.",0.5998052580331061
"negative","only thing getting me through this final is the case of beer in my fridge",0.5443390964863357
"positive","i love this bio class and the satisfaction of driving muench to insanity",0.48816936488169366
"neutral","the driver on the westbury bus is the shit 😍",0.5292072322670375
"neutral","whoever was playing the piano in sturges around 4 today...it was beautiful ❤️ distracted me from my intd class 😁😁",0.9281565803229179
"negative","whats sad and funny is that none of you even know me. and rather than posting my name on yik yak how about you post yours?",0.6684253246753247
"positive","my girlfriend told me that if i can finish my 18 page paper by tomorrow she was going to reward me with a sexy outfit and a romantic evening. talk about some motivation. love her",0.7103594080338267
"neutral","🎈                                         🏃 oh shit my balloon!",0.9999304054447925
"negative","so i dont have a valentine. my worst fear is crossing paths with my ex and a new drunk girl he will pick up :(",0.6600083229296713
"negative","i need a 94% on this cumulative final to pass or else ill have to stay here an extra semester. pray for me friends.",0.6511528608027327
"positive","i really love my boyfriend but i hate having my lipstick smeared. decisions decisions.",0.5054151624548737
"negative","i havent even showered since finals began so i apologize in advance if i use all of the campus water supply tomorrow afternoon",0.6418237615081105
"neutral","my pee smells like pineapple 🍍",0.9785084496693608
"positive","this semesters going to be real fun-already hit my tolerance for bullshit ✌️",0.48816936488169366
"negative","praying that all this coughing at least gets me washboard abs. 🙏",0.4925465838509317
"neutral","one more final today and then home😍",0.5831417624521072
"neutral","number of people who still have finals next week ———————&gt;",0.5114247311827956
"positive","someone should clean the bugs out of the starbucks lights...my peppermint mocha relax has been tainted by grossness above my head 😝",0.6104265402843603
"negative","getting your period right before finals week definitely validates all naps taken and netflix watched in procrastination.",0.5733681462140993
"negative","from the way my friend put it it sounds like our syllabus week is more difficult than cortlands finals week",0.6105815061963775
"negative","i love college because people can cry and sleep wherever they want and everyone else just understands",0.3829787234042552
"neutral","dogs dont need to take finals",0.6117363344051446
"negative","i swear this school doubled in study body due to finals week. im seeing people ive definitely never seen before",0.6105815061963775
"negative","sometimes i feel sad that i dont have a guy to come have sex with me. then i masturbate and like damn im good.",0.6511528608027327
"negative","people take plagiarism on yik yak more seriously than they do on their final papers",0.5443390964863357
"neutral","i am in bed wearing a flannel and warm socks and listening to some soft music and im so happy and im going to sleep so well ahh ☺️",0.9291441129787148
"negative","it would be nice if the printers worked in the library during finals week",0.5282909930715937
"negative","honestly i enjoy finals week for the sole reason that i dont have to try to keep up a decent appearance cause everyone else looks like shit too",0.6840680587780357
"neutral","i ❤️ κς",0.9629863967099019
"neutral","i love hannah from th 27",0.6268533772652388
"neutral","i love you. why cant you see that? 😔",0.3940963231486276
"positive","is there such thing as bipolar depression? some days i feel okay and can be happy other days i just wish id die. i dont know what to do.",0.6714628297362111
"negative","kind of sad when you want to just fuck someone so bad but mother natures like naw bitch not this week",0.6215840666975452
"neutral","professors who send out detailed study guides you da real mvp",0.5093708165997323
"positive","i thought about not flushing my toilet because i was so proud of my poop and i wanted everyone to see it...",0.6104265402843603
"positive","last week was my hell week so im going to sit down and watch me some netflix ✌️",0.5641569459172854
"negative","i had a dream where my finals got cancelled. it was such a good dream that i came in my sleep and i have to change my sheets now.",0.6913486966377032
"negative","forgot how much i liked you until i came back here 😭",0.4925465838509317
"positive","ilu gennyseo thx 4 being da real mvp every day. i luv you guys so much were the best💕💕💕💕",0.576725025746653
"negative","i wish i could be watching the vs show right now. :(",0.4925465838509317
"negative","actual final exam: so did you enjoy this semester? what can i improve on?",0.5282909930715937
"negative","to all the girls who still hit the gym during finals week.... you da real mvp",0.3770909090909091
"neutral","the weather isnt helping me with my depressed mood :/",0.5114247311827956
"neutral","i need a good cry any good netflix movies for that?",0.49128469980632666
"neutral","we accept the love we think we deserve.",0.5739064856711915
"positive","congrats womens basketwall we fucking love u guys love us",0.8918136351671493
"neutral","would love to hook up with a black girl they are gorgeous",0.4909677419354839
"positive","my car is the real mvp for putting up with geneseos lack of plowing.",0.5054151624548737
"positive","guy that ordered 3 large pizzas and shouted free pizza in starbucks u da real mvp",0.5366403607666291
"negative","yik yak during finals week make me happy to see that im not the only one to have crippling anxiety and disappointing grades",0.4101989352759876
"negative","weed is grass form smells like heaven but it smells dreadful when its burning. *sigh* 😪",0.5593311758360303
"negative","needs a smoking buddy 👫l👭 on north side because my friends live on south side 😰",0.5593311758360303
"positive","i love sweatshirt season. am i wearing a bra? who knows. am i wearing the shirt i wore to bed last night? maybe.",0.6204986149584488
"negative","everyone gets religious when theyre either in a foxhole or about to take a final",0.5443390964863357
"neutral","hey girls! dont forget your birth control tonight! 💊",0.5332866152768045
"neutral","the yak game is restored thank god 🙌",0.9832041343669251
"negative","coming back to school makes me realize how much i dont want to be here and how much i miss home 😢",0.631981981981982
"negative","submitting a take home final with 5 minutes to spare is the best feeling ever",0.5443390964863357
"negative","if youre having trouble finding good study music check out movie/video game soundtracks. theyre designed to enhance focus and not break your concentration! good luck on finals :)",0.42585459797785263
"positive","not that into chocolates but i love flowers and i double love candles",0.9303271740973046
"negative","finals week is 5% legit studying 15% cramming and 80% telling everyone else how much harder you have it",0.5989199803632793
"positive","i dont care if the dress is blue and black or white and gold its cute and i want it",0.5885885885885886
"neutral","if something makes you happy then fuck what everyone else thinks. #youdoyou",0.4909677419354839
"positive","to the kid from long island walking up court street: hi hello youre cute",0.5054151624548737
"negative","i woke up like thisss🎶 (and im going to take my finals like this)",0.5282909930715937
"positive","a big fuck you goes out to the aholes who dont sign out on the milne computers 👍",0.5641569459172854
"neutral","enter promo code sleep to get 25% off your finals",0.5114247311827956
"positive","suite 211 knows best we love soccer we love pizza and we love you. have a great night",0.997864524609925
"neutral","whats worse failing a final or finding out youre pregnant",0.5114247311827956
"negative","have 4 more hours to study for my test thank god for afternoon finals",0.5282909930715937
"neutral","i love being drunk",0.690562613430127
"positive","i dont know for sure but i heard sdt has the best looking girls and i would love to party with you sometime",0.6204986149584488
"neutral","50 shades of dark circles under my eyes bc finals",0.5114247311827956
"negative","i think i may be getting my period. i say as i cry and finish an entire box of cereal",0.6105815061963775
"neutral","anyone else just fail beesons exam?",0.6117363344051446
"positive","when a guy calls you fucking beautiful how would u feel? im happy but im scared bc i think i love him",0.973001379491559
"neutral","so happy the horny virgins are back to yak about wanting sex",0.4909677419354839
"negative","on the first day of finals my teacher gave to me a big fat motherfucking d",0.5593311758360303
"positive","i want this girl so fucking bad. shes so beautiful idk what to do",0.5054151624548737
"positive","cute girl from the gym was also at rj brunch please date me",0.48816936488169366
"neutral","girls who wants a little last-minute cuddling before break? 😉",0.5292072322670375
"neutral","honestly are there any cute ladies still here?",0.5739064856711915
"neutral","i have three finals tomorrow. send your prayers.",0.5571010248901903
"neutral","a free beer should come after being handed the syllabus for classes. 🍺",0.9891374988394763
"negative","do any girls want to smoke and cuddle and chill at my house? kik 👇",0.5443390964863357
"negative","too tired for life today and it doesnt even matter that its friday because finals 😫",0.955708554700206
"neutral","redhead girl that works at south 😍",0.5992125984251968
"neutral","whoever invented the post final beer..well done sir/madaam...well done.",0.5332866152768045
"negative","why study for finals when trivia crack is so much more satisfying?",0.4925465838509317
"neutral","i am still so in love with you.",0.5739064856711915
"negative","ooo you know its finals week when geneseo yak feed starts to slow down",0.5282909930715937
"positive","my love life and hit a new low because now my love life is a rp app",0.956659285036381
"negative","twas the night before finals and all through geneseo fuck this poem i need to study for cell bio.",0.5989199803632793
"neutral","all i had was pancakes now i have nothing 💔",0.5114247311827956
"positive","cant be a stripper because i love food. cant get as because i love sleep. damn",0.9516641185463954
"neutral","is bouchers final cumulative?",0.67825311942959
"neutral","go womens bball we love you also fuck cortland",0.5506512301013023
"neutral","i love eggos",0.7275334608030593
"neutral","my body is ready...to take a nap until finals are over.",0.49128469980632666
"neutral","for the love of all that is holy my anus is bleeding!!!!!",0.4909677419354839
"neutral","no amount of adderall can confidently get me through these finals",0.49128469980632666
"negative","cant stop thinking about the guy i hooked up with this weekend. why do i make myself have these feelings? :(",0.6215840666975452
"positive","so looking forward to a beautiful massage on spa day damn i need it rn",0.5215366705471478
"neutral","update: i acquired pizza and slept well. what a wonderful saturday night 🐋",0.9891374988394763
"neutral","who was that cute boy?",0.657167530224525
"positive","people think they need a huge dick to get a girl. in reality all you need are nice nipples and a cute smile.",0.6204986149584488
"neutral","i just love getting sexiled at 2:30 in the fucking morning.",0.5093708165997323
"positive","hey couple who regularly has sex on the third floor of genesee i can hear you. love a second floor resident.",0.5998052580331061
"neutral","dear fire drill fuck you.     love everyone",0.5093708165997323
"negative","i might fail a class and my others arent that great but there are blue sour patch kids now so i cant really complain.",0.6511528608027327
"positive","i love shaving my legs and crawling into bed. the feeling of my sheets against my legs is magic.",0.576725025746653
"positive","farted so bad in milne person i dont know next to me looks at me like dude was that you? looked back at him like nah bro wasnt mehe looks at the cute girl nearby thinking it was her!",0.7315480078380143
"neutral","wen youre sad and use tinder as an ego booster >>>>>>>",0.49128469980632666
"positive","it sucks being in love with your best friend it sucks even more when he finds out and asks how he can help you forget bout your feelings... but wants to hu",0.6921348314606741
"positive","sometimes i want to be positive and upbeat but i just love my skewed perception of the world too much",0.5885885885885886
"negative","if i could just die in ur arms.... 2 real now wow #ripbieber 😩",0.5282909930715937
"neutral","🎈      🏃shit my balloon",0.9848582891160864
"neutral","you know what rhymes with procrastination... failure",0.5831417624521072
"negative","i got my period during finals week lets see how this plays out.",0.5110712148414124
"positive","i love the people at geneseo so much. i never want to leave.",0.48816936488169366
"negative","the only people i can actually talk to is my therapist. and thats sad",0.5282909930715937
"neutral","alls fair in love and pledging",0.6268533772652388
"neutral","kincaid gave us the shaft with this in class final",0.5114247311827956
"negative","anyone else just get fucked by the genetics final? im gonna fail the course bc of that...",0.5733681462140993
"neutral","50 shades of grey under my eyes 💤",0.9832041343669251
"neutral","i love mary toro",0.690562613430127
"negative","an exam in the morning im going to fail and im up all night crying into my pillow. happy fucking friday",0.4023988005997001
"negative","finals must be a gangster because it stuck me up for my gpa and now i have nothing",0.5865384615384616
"positive","reading in my spot as someone plays the piano down the hall- thank you for the music :)",0.5641569459172854
"negative","from all of the activity on here you can tell its finals time.... and everyone is just procrastinating... nice",0.5989199803632793
"negative","the only thing thats gonna get me through this final is knowing i can crawl back into my bed after its over.",0.631981981981982
"negative","havent made out with anyone in 3 years worried ive forgotten how 😳",0.5110712148414124
"neutral","whos at geneseo movie theater?! 😜",0.6268533772652388
"positive","absinthe: for the kind of people who truly love licorice and truly despise their liver",0.5215366705471478
"negative","hello yes 911: can u tell geneseo to hold off on billing me until im done with finals",0.5865384615384616
"neutral","do u guys think peterson will curve the final or na",0.49128469980632666
"neutral","there are so many beautiful girls on this campus its insane",0.5093708165997323
"positive","to the really cute red head in the basement of the library today at 3 i wish i had gotten your name",0.6104265402843603
"neutral","alright guys! weve got 3 days until break! youve made it this far and you can make it the last three days! keep it up 🎉",0.9943379790940767
"negative","it wouldve been nice if we were given two weeks to study for finals instead of one :/",0.9642262895174709
"negative","i did not miss having to share a room and not having privacy 😔",0.5282909930715937
"positive","some days i love myself and everything about me and other days i think why would i even think those things and feel miserable",0.6300630063006301
"negative","🎶is this real life or is it finals week? caught in a landslide no escape from reality.🎶",0.5733681462140993
"negative","wifi acting up on finals week just proves how the suny government is trying to fuck us over",0.5865384615384616
"negative","professors who give out essay topics before the final are bae 😍",0.3475021910604733
"negative","im on my period and just wanna cuddle and smoke weed with a hot guy :(",0.5593311758360303
"positive","to the cute girl whos in bhangra in rogalskys 123 your ass is incredible! lets get together sometime😉",0.5641569459172854
"neutral","got those stomach growlies 👷",0.9750160153747597
"negative","just googled where is the best place to meet rich men? because finals",0.5110712148414124
"positive","i love when i take a girl home and find out she has a big dick like score!!",0.5641569459172854
"negative","high school: i have a test this week :( college: i have 3 papers 2 exams a midterm 4 shifts at work 3 mental breakdowns 4 gallons of coffee and not enough sleep.",0.7173988239363542
"neutral","up ⬆️ if you got fucked by managerial accounting. just tryna see how big my curve is gonna be",0.9923713894503489
"negative","geneseo needs a club for all-nighters during finals week. what is open at this hour?",0.5443390964863357
"neutral","need a hung top :/",0.643279797125951
"negative","finals week ive got a cold on my period and trying to lose 5lbs by christmas. ultimate test of my self control and motivation.",0.6511528608027327
"negative","i am cold and sad and empty inside and i dont know how to fix any of it",0.5865384615384616
"negative","if you look in the mirror at midnight and say fuck me 3 times a cumulative final appears",0.5865384615384616
"neutral","even though my finals sucked today has been simply amazing.! :)",0.3515011547344111
"positive","i have so much respect for a teenage couple that gets pregnant and stays together not only for the baby but because they genuinely love each other.",0.6560669456066945
"positive","i refresh my twitter feed like 100 times a day....just because i just fucking love hearing that little pop noise",0.5885885885885886
"negative","i keep seeing really nice encouraging posts on here but then i see theyre being down-voted. finals must have everyone bitchy. cheer up genny!",0.6511528608027327
"positive","gotta love when you get that sneaky gargano text. yes ive slept with him",0.5054151624548737
"negative","got a chocolate crescent chocolate milk and have been eating a bag of reeses all morning. am i on my period? nope just finals week.",0.6600083229296713
"positive","my bf woke me up last night to say that i farted in my sleep. then laughed. guess he really does love me lol",0.6300630063006301
"neutral","oh how ive missed you geneseo yak 💜",0.9832041343669251
"neutral","shoutout to the wind ensemble and honors orchestra! yall were awesome :)",0.4909677419354839
"positive","i thought im in love with the coco was seriously about chocolate milk. but then again i never understood why he has baking soda 😒😒",0.6391571553994733
"neutral","when you were the first one in lauderdale and everyone that came after you gets seen first 😑",0.9919731064763996
"negative","doubt kills more dreams than failure ever will and then geneseo kills whats left.",0.5282909930715937
"negative","its friday friday...gunna get 👇 on f r i d a y!",0.4925465838509317
"neutral","love getting drunk on the weekend so i can get pauls balls",0.4909677419354839
"neutral","i love my penis",0.690562613430127
"neutral","if apple made a car would it have windows? 😮",0.9862158341187558
"positive","you know someones proud as fuck when they start a tweet off with officially",0.5054151624548737
"negative","upvote if youre here and hate everything and want home cooked food 😭",0.5110712148414124
"neutral","definitely got addicted to adderall during this finals week.",0.5332866152768045
"positive","youre the most beautiful boy ive ever seen i just wish i was what you want",0.5366403607666291
"negative","this 7pm final is the only thing keeping me from my sanity",0.4925465838509317
"negative","its a strange mix of hate and admiration i have for those that dress nice to a final",0.5865384615384616
"positive","i just want a cute girl to hold and fall asleep with. i may be muscle-bound but im a big teddy bear",0.6104265402843603
"neutral","up vote if you love the weekend",0.5992125984251968
"neutral","why is everyone sad on here.. be happy!",0.5571010248901903
"neutral","i guess mother nature sensed that too much snow melted 😒",0.49128469980632666
"positive","overheard at geneseo: forget the a ill just be happy with a c thats where im at right now.",0.576725025746653
"negative","the sad part about the ib. closing is that i cant let go and dance   im being deprived of dancing now .!",0.6511528608027327
"negative","you know its almost finals time when you try to ctrl-s in google.",0.5110712148414124
"neutral","did anyone else get the call from sdt? 😔",0.5332866152768045
"neutral","having fun at the union until 6 😓",0.5571010248901903
"positive","i honestly love my sorority so much and the girls are incredible. but the way greeks are pitted against each other makes me sick. why cant we all just get along?",0.685539403213466
"negative","the new finals week yak theme is here to remind us of what we should be doing instead of refreshing yik yak",0.631981981981982
"negative","would the people above me shut up. yes its thursday but its also goddamn finals week.",0.5593311758360303
"neutral","quit your bitchin about finals and go get high. thanks mom",0.49128469980632666
"negative","whenever i look like a homeless drug addict i run into every hot guy and his brother on campus 😒",0.6105815061963775
"positive","i honestly love this school so much. i have no fear or uneasy feeling about walking alone on campus at night",0.5998052580331061
"neutral","happy laundry and homework day",0.657167530224525
"positive","people can be dumb af with love interests its like yo if you like them tell them you not sure they like you? then ask",0.6391571553994733
"positive","love seeing when kids bitch about things on yikyak then when someone comments go tell them it gets downvoted. you kids are such pussies if you have an issue grow some nuts and confront it.",0.7103594080338267
"positive","if you live in wyoming please get your shit out of the dryer. thank you :)",0.5366403607666291
"positive","we lost a good one tonight take this moment to tell the ones we love in this world that we love them",0.973001379491559
"negative","kids who cry and bitch about hazing are worse than the frat stars at sec schools who actually haze their pledges. chill kids this is geneseo not bama",0.6840680587780357
"neutral","i love hockey boys",0.690562613430127
"neutral","you can still view geneseo yak over break because now you can save any peeks you want. but nobody will be here to yak so im disappointed 💀",0.9947264040385828
"neutral","returning all your reference books to the library after 2 months of research 🙌",0.9898543184183143
"negative","the library is the most distracting place i dont understand why people flood the place during finals",0.5733681462140993
"positive","springtransfers:i was you last year my first semester was lonely and horrible.please give it time! im now having the time of my life. geneseo is an amazing place you will find your niche. good luck",0.7103594080338267
"negative","watching toy story 3 during finals week was a terrible idea. fuck you abc family for all the tears.",0.5989199803632793
"neutral","happy purim everyone!!! :^d",0.690562613430127
"negative","gonna wear a kobe jersey to my final so everyone knows im not passing.",0.5282909930715937
"positive","some people are meant to fall in love have happy families and beautiful relationships. and some people are meant to be claire underwood. i chose the latter. 😎",0.9840552080316215
"neutral","raise your hand if youre all alone in ambassador 🙋",0.9862158341187558
"negative","black friday should be called brown friday since everyone will be pooping the meals from the day before 💩",0.5989199803632793
"negative","after seeing my doctor over break all i can think about is my upcoming surgery. as if concentrating on finals wasnt going to be hard enough.",0.6684253246753247
"positive","its amazing how quickly you can fall asleep when you cant reach your phone",0.5054151624548737
"negative","so who wants to help me on my theatre final tomorrow? there will be a reward involved.",0.5733681462140993
"neutral","not drunk in love just drunk.",0.6268533772652388
"neutral","help wanted. need to fall out of love with my best friend.",0.4909677419354839
"neutral","no one is here so i can post whatever the fuck i want 🍆",0.9898543184183143
"negative","from the way my friend put it it sounds like our syllabus week is more difficult than cortlands finals week",0.6105815061963775
"positive","if youre reading this you survived monday and that is something to be proud of friend.",0.5366403607666291
"neutral","amazing how 1% of the semester holds 99% of the stress",0.5093708165997323
"positive","dragging your feet on the carpet to peel your socks off >>>> 😊",0.48816936488169366
"neutral","was the mcknight lab final hard?",0.6117363344051446
"neutral","just remember how good it feels to be done with finals",0.49128469980632666
"positive","i love watching new cas employees learn the ways and realize how awful it really is",0.5366403607666291
"negative","mike muoio doesnt fear finals finals fear him",0.8581104550191038
"neutral","i think i love you",0.657167530224525
"neutral","sitting in bed watching netflix and eating girl scout cookies. 👌",0.5093708165997323
"negative","dont stress too much about finals grad schools/ employers dont care about grades they care about where you went what you did and who you are.",0.6684253246753247
"neutral","geneseo finals week: the real trail of tears",0.5571010248901903
"negative","is it sad im really proud of myself for going and talking to a teacher?",0.37067983289023926
"neutral","why cant we all just give each other head and be happy",0.4909677419354839
"positive","hey do you guys like sales cause pants are 100% off in my room ;)",0.5215366705471478
"positive","sometimes i wanna be like holy crap you look super fucking sexy! but most times i wanna be like hey... i think your eyes are beautiful... and id love it if i got to know you.",0.7159640635798202
"negative","still very happy to see the yak community supporting and helping the sad and or people who make bad choices",0.39807333747669355
"positive","last night was just wild as a whole. proud to be a knight.",0.48816936488169366
"neutral","professors who give finals are cotton-headed ninny muggins",0.5571010248901903
"neutral","hot chocolate just wants to be called beautiful chocolate for once.",0.5093708165997323
"neutral","ben is just shy and looking for love",0.5739064856711915
"negative","on the first day of finals my teacher gave to me a big fat motherfucking d",0.5593311758360303
"positive","whats a guy have to do to take a cute young lady on a date",0.5215366705471478
"positive","part of me is always happy when my girlfriend gets her period at least i wont be a dad this month.",0.5998052580331061
"neutral","i drew a sad face for a test answer today. cheers🍻",0.49128469980632666
"neutral","listening to christmas music has helped my final anxiety.",0.5332866152768045
"positive","after today i believe love at first sight exists. just thinking about her all day and so anxious to see her soon",0.6104265402843603
"neutral","this cell bio final tomorrow will decide my future",0.5332866152768045
"neutral","had so much coffee today its hard to blink my eyes 👀",0.9883116883116883
"neutral","bus drivers who.stop where you want you da real mvp",0.5292072322670375
"neutral","so like where are the parties tonight? 💁",0.9832041343669251
"neutral","i rarely feel beautiful unless im naked or in a dress",0.5093708165997323
"negative","when i  have a playlist named im sad again that should probably be a sign that i need to break up with you...",0.6511528608027327
"negative","my friends all have so much drama right now and im the one they come to. but none of them ever care if i have any problems. im sick of being the shoulder to cry on... i need someone too.",0.7537673297166968
"positive","if any guys are down to get some head from another guy leave your kik in a comment so we can procrastinate together ;)",0.6300630063006301
"neutral","apo has some beautiful girls though",0.6268533772652388
"neutral","happy thanksgiving day eve!! prepare your stomachs.",0.5992125984251968
"positive","youre beautiful i saw your face in a crowded place and i dont know what to do because ill never be with you",0.6204986149584488
"neutral","any ladies trying to just chill and cuddle near south side?? :)",0.4909677419354839
"negative","at that time of the semester where you calculate the minimum score you have to get on a final to pass the class",0.6418237615081105
"positive","its amazing how unorganized my room dresser and closet schedule and life are at this point in the semester compared to the beginning of it.",0.6391571553994733
"positive","i always eye fuck with this girl in my english class. its really nice... but i hope she wants to take it a step further 😏",0.6478149100257069
